ORGANIZATION,EMAIL,PHONE,ADDRESS,WEBSITE,latitude,longitude,status,notes,zipcode,county
Freedom Aquatic & Fitness Center,freedomc@gmu.edu,(703)993-8444,"9100 Freedom Center Blvd, Manassas, VA 20110",http://www.freedom-center.com,38.7591571,-77.5196192,Pending,,20110,Manassas
Georgetown South Community Council,frontdesk@georgetownsouth.org,703.361.4500,"9444 Taney Rd # 100, Manassas, VA 20110",http://georgetownsouth.org/,38.7413285,-77.4728188,Pending,,20110,Manassas
GPW Health Center -- Manassas,,(703) 680-7950,"9705 Liberia Ave Unit 201, Manassas, VA 20110",https://www.gpwhealthcenter.org/,38.7459868,-77.4486488,Pending,,20110,Manassas
Grace Korean Church,,(571) 379-5665,"7223 Centreville Rd, Manassas, VA 20111",,38.7990294,-77.446084,Pending,,20111,Manassas
Grace United Methodist Church,office@umcgrace.org,703-393-2345,"9750 Wellington Rd, Manassas, VA 20110",https://umcgrace.org/,38.7380603,-77.4764307,Pending,,20110,Manassas
Greater Mt Calvary Christian Church,,(703) 368-9987,"9514 Westmoreland Ave, Manassas, VA 20110",,38.7795093,-77.485537,Pending,,20110,Manassas
Habitat for Humanity,info@habitatpwc.org,(703) 369-6145,"10159 Hastings Drive Manassas, VA 20110",https://habitatpwc.org/,38.7324823,-77.4761126,Pending,,20110,Manassas
High School Completion Program PWC,AdultEd@pwcs.edu,(703) 791-7200,"14715 Bristow Rd., Manassas, VA 20112",https://www.pwcs.edu/academics___programs/adult_education/high_school_completion/index,38.6365571,-77.4347368,Pending,,20112,Manassas
Holy Light United Baptist Church,,(703) 369-3475,"7319 Old Compton Rd # A, Manassas, VA 20109",,38.7953024,-77.5371892,Pending,,20109,Manassas
Homeless Intervention Program (HIP) -- Prince William County Department of Social Services,,(703) 792-7549,"7987 Ashton Avenue, Suite 200, Manassas, VA 20109","https://virginianavigator.org/program/30588/homeless-intervention-program-hip#:~:text=The%20Homeless%20Intervention%20Program%20(HIP,area%20median%20income%20or%20lower.",38.7883026,-77.5192123,Pending,,20109,Manassas
Hope for NOVA,connect@hopefornova.org,,"Historic District, 15024 Dumfries Rd, Manassas, VA 20112",https://hopefornova.org/,38.6253188,-77.4087991,Pending,,20112,Manassas
Hope Hill Church,hello@hopehillchurch.org,(571) 402-4900,"15300 Bowmans Folly Dr, Manassas, VA 20112",http://www.hopehillchurch.org/,38.6226468,-77.3942994,Pending,,20112,Manassas
Hope Lutheran Church,secretary@hopemanassas.org,703.361.8732,"10391 Sudley Manor Dr, Manassas, VA 20109",http://www.hopemanassas.org/,38.7887238,-77.507455,Pending,,20109,Manassas
House of Mercy,jroot@houseofmercyva.org,703-579-0280,"8170 Flannery Ct, Manassas VA 20109",https://houseofmercyva.org/,38.7815467,-77.5578669,Pending,,20109,Manassas
House of Mercy Thrift Store,jroot@houseofmercyva.org,(703) 659-1636,"8170 Flannery Court, Manassas, VA 20109",https://houseofmercyva.org/thrift-store/,38.7815467,-77.5578669,Pending,,20109,Manassas
Humality First USA - Masroor Mosque Food Pantry,fundraiser@humanityfirstusa.org,,"5640 Hoadly Road, Manassas, VA 20112",https://humanityfirstusa.org/portfolio/manassas-food-pantry/,38.6759803,-77.3742077,Pending,,20112,Manassas
Human Service Alliance of Greater Prince William,info@alliancegpw.org,703-344-4729,"7542 Diplomat Drive, First Floor, Manassas, VA 20109",https://www.alliancegpw.org/rentassistance,38.7929135,-77.5175528,Pending,,20109,Manassas
Hunger Resource Center,ddixon@nvfs.org,571-748-2680,"10058 Dean Drive, Manassas, VA 20110",https://www.nvfs.org/our-services/health-well-being/food-assistance/,38.7445797,-77.5007122,Pending,,20110,Manassas
Iglesia Alianza Cristiana y Misionera De Virginia,,"(571) 226-0467
571-244-1379  ","8220 Spruce St, Manassas, VA 20111",http://www.acmweb.net/?page_id=41,38.7826473,-77.4487476,Pending,,20111,Manassas
Iglesia Bautista Emmanuel Manassas,Kleberjimenez@hotmail.com,"703-717-8608
(703) 717-8608","10213 Nokesville Rd, Manassas, VA 20110",https://www.facebook.com/pages/category/Religious-Organization/Iglesia-Bautista-Emanuel-Manassas-383573508767790/,38.7468344,-77.5031988,Pending,,20110,Manassas
Iglesia Cristiana Proposito Eterno,,"703-217-8528; alt 571-208-1238
(703) 217-8528","8533 Phoenix Dr, Manassas, VA 20110",,38.7628423,-77.4551159,Pending,,20110,Manassas
Iglesia Maranatha Virginia,,(703) 789-0427,"7507 Presidential Ln, Manassas, VA 20109",,38.794286,-77.518058,Pending,,20109,Manassas
Iglesia Mision Cristiana Agape,,703-389-4582,"8025 Rugby Rd, Manassas, VA 20111",https://misioncristianaagape.com/,38.7885345,-77.4424532,Pending,,20111,Manassas
Iglesia Pentecostal la Ultima Cosecha,,(703) 335-0184,"8738 Yorkshire Ln, Manassas, VA 20111",https://www.facebook.com/pages/Iglesia-Pentecostal-la-Ultima-Cosecha/230210174147616,38.7900845,-77.464864,Pending,,20111,Manassas
"Iglesia Pentecostal Manassas, A+ Monte De Los Olivos",,(540) 408-6778,"8280 Rugby Rd, Manassas, VA 20111",,38.7907583,-77.4491124,Pending,,20111,Manassas
Iglesia Pentecostes La Nueva Jerusalen,Iglesiaplnj@gmail.com,(571)288-1748,"7236 Nathan Ct, Manassas, VA 20109",https://www.iglesiaplnj.org/,38.799582,-77.522597,Pending,,20109,Manassas
Iglesia Principe De Paz,,(703) 257-4311,"7228 Nathan Ct, Manassas, VA 20109",,38.799888,-77.5228654,Pending,,20109,Manassas
Iglesia Tabernaculo De Adoracion,,(703) 944-7546,"Historic District, 10967 Lute Ct, Manassas, VA 20109",,38.8007003,-77.5233307,Pending,,20109,Manassas
Independence Empowerment Center,kyoung@ieccil.org,703-257-5400,"8409 Dorsey Circle, Suite 101, Manassas, VA 20110",https://ieccil.org/,38.7695876,-77.4864703,Pending,,20110,Manassas
Independent Hill Library,,703-792-5668,"14418 Bristow Rd, Manassas, VA 20112
",www.pwcva.gov/library,38.6374021,-77.4455237,Pending,,20112,Manassas
Khatam-Un-Nabiyeen Center,,703-330-0555,"7216 Nathan Ct, Manassa, VA 22109",,38.8003454,-77.5231292,Pending,,22109,Manassas
La Ultima Cosecha,,(703) 335-0184,"8738 Yorkshire Ln, Manassas, VA 20111",,38.7900845,-77.464864,Pending,,20111,Manassas
Legal Services of Northern Virginia,help@lsnv.org,703-368-5711,"9240 Center Street, Manassas, VA 20110",https://www.lsnv.org/what-we-do/,38.7510228,-77.4756869,Pending,,20110,Manassas
Life Connection Church,GETINFO@LIFECONNECTIONPWC.COM,703-365-7726​,"9510 Technology Dr, Manassas, VA 20110",https://www.lifeconnectionpwc.com/,38.7494058,-77.4956973,Pending,,20110,Manassas
Life of Church Manassas,hello@welovechurch.com,(703) 330-0881," 10501 Copeland Drive, Manassas, VA",https://welovechurch.com/outreach/food-pantry/,38.7897495,-77.5056151,Pending,,20109,Manassas
Living Faith Church,administration@livingbyfaith.com,703-331-3820,"10266 Battleview Pkwy, Manassas, VA 20109",https://www.livingbyfaith.com/,38.8079727,-77.5126427,Pending,,20109,Manassas
"Long & Foster Old Town Manassas, VA - Realty",theresa.dalman@longandfoster.com,703-257-2118,"9104 Church Street #201, Manassas, VA, 20110",https://www.longandfoster.com/Office/LongandFosterOldTownManassasVARealty-102692,38.7518999,-77.4723686,Pending,,20110,Manassas
Manassas Baptist (Western Prince William County),,571-277-0728,"8730 Sudley Rd, Manassas, VA 20110",,38.7648185,-77.4827896,Pending,,20110,Manassas
Manassas Baptist Church,info@manassasbaptist.org, 703-361-2146 ,"8730 Sudley Rd, Manassas, VA 20110",http://werchurch.com/,38.7648185,-77.4827896,Pending,,20110,Manassas
Manassas Church of Christ,,703.368.2622,"8110 Signal Hill Rd, Manassas, VA 20111",http://manassaschurch.org/,38.7491999,-77.4466085,Pending,,20111,Manassas
Manassas City Animal Adoption Center,animalshelter@ci.manassas.va.us,703-257-2420,"10039 Dean Drive, Manassas, Virginia, 20110",https://pwspca.org/food/,38.7457704,-77.4994686,Pending,,20110,Manassas
Manassas City Library,,703-792-8820,"10104 Dumfries Rd, Manassas, VA 20110
",www.pwcva.gov/library,38.7372205,-77.4748741,Pending,,20110,Manassas
Manassas Commuter Rail Station Library,,,"9451 West St, Manassas, VA 20110",www.pwcva.gov/library,38.7501402,-77.4728039,Pending,,20110,Manassas
Manassas Hope For the Homeless -- Manassas Baptist Church,office@mbcnova.org,703-277-7140,"8730 Sudley Rd, Manassas, VA 20110",https://mbcnova.org/,38.7648185,-77.4827896,Pending,,20110,Manassas
Manassas Masjid,info@manassasmosque.org,(703) 257-5537,"12950 Center Entrance Ct. Manassas, VA 20109",http://islamic-city.org/,38.7997191,-77.5219814,Pending,,20109,Manassas
Manassas Muslim Association - Jaam'i Masjid,info@manassasmuslims.org,(703) 962-7477,"9059 Euclid Ave, Manassas, VA 20110",http://www.manassasmuslims.org/,38.7609694,-77.4523897,Pending,,20110,Manassas
Manassas Seventh-day Adventist Church,,703-335-1710,"9858 Fairmont Ave, Manassas, VA 20109",http://www.msdachurch.org/,38.777365,-77.4940722,Pending,,20109,Manassas
Manassas VA Red Cross Blood and Platelet Donation Center,,800-RED CROSS,"10360 Portsmouth Rd., Manassas, VA 20109",https://www.redcross.org/local/dc-va-md-de.html,38.7801277,-77.5074326,Pending,,20109,Manassas
Masroor Mosque-Ahmadiyya Muslim Community,masroor.mosque@ahmadiyya.us,(703) 590-5500,"5640 Hoadly Rd, Manassas, VA 20112",https://www.muslimsforpeace.org/,38.6759803,-77.3742077,Pending,,20112,Manassas
McLean Bible Church,,703-639-2000,"10002 Battleview Pkwy, Manassas, VA 20109",https://www.mcleanbible.org/locations/prince-william,38.8065219,-77.510449,Pending,,20109,Manassas
Meadowbrook Woods Clubhouse & Pool,,(703) 794-9025,"13200 Superior Ct, Manassas, VA 20112",https://www.mbwhoa.org/page/42319~920697/community-pool-and-swim-team,38.6678788,-77.4347476,Pending,,20112,Manassas
Mi Catedral De La Fe,Info@micatedraldelafe.org,571-393-3525,"8306 Rugby Ct, Manassas, VA 20111",http://micatedraldelafe.org/,38.789078,-77.4523168,Pending,,20111,Manassas
Mision Cristiana Elim de Virginia,,703 - 257 - 5248,"7555 Centreville Rd, Manassas, VA 20111",https://www.misionelimva.com/,38.7914322,-77.4471438,Pending,,20111,Manassas
Mountaintop Church,INFO@MOUNTAINTOPCHURCH.ORG ,(703) 544-9292,"10501 Balls Ford Rd, Manassas, VA 20109",https://www.mountaintopchurch.org/,38.7998713,-77.5111494,Pending,,20109,Manassas
NAACP,religiousaffairs@pwnaacp.org,(703)475-0736,"P.O. Box 499 Manassas, VA 20108-0449",www.pwnaacp.org,38.7512726,-77.4706769,Pending,,20108,Manassas
National Counseling Group,dpatel@traumaandhope.com,(703) 257-5997,"9301 Forest Point Circle, Manassas, VA 20110",National Counseling Group | Virginia (ncgcommunity.com),38.7658974,-77.4787655,Pending,,20110,Manassas
New Birth Community Church,nbcc.clerk.events@newbirthcc.com,703-656-8067,"9950 Wellington Rd, Manassas, VA 20110",https://www.newbirthcc.com/,38.7423912,-77.4628109,Pending,,20110,Manassas
Northern Virginia Family Service (NVFS) Serve Campus Family Shelter,info@nvfs.org,571-444-6664,"10054 Dean Drive, Manassas, VA 20110",https://www.nvfs.org/our-services/homelessness-housing/serve-campus/,38.7447792,-77.4998082,Pending,,20110,Manassas
Novant Behavioral Health,,(703)369-8055,"8680 Hospital Way, Manassas, VA 20110",https://www.novanthealth.org/services/mental-health/,38.7664873,-77.4889561,Pending,,20110,Manassas
Novant Health UVA Health System Prince William Medical Center\,,571-833-2245,"8700 Sudley Rd, Manassas, VA 20110",https://uvahealth.com/locations/UVA-Health-Prince-William-Medical-Center-5597282,38.7677717,-77.4881219,Pending,,20110,Manassas
Office of the Commonwealth's Attorney,tthomas@pwcgov.org,(703)792-8220,"9311 Lee Avenue, Suite 200, Manassas, VA 20110",,38.7514307,-77.4789209,Pending,,20110,Manassas
Parent Resource Center,HollebAJ@pwcs.edu, (703) 791-8846 or (703) 791-7438,"14715 Bristow Road, Manassas, VA 20112",https://www.pwcs.edu/academics___programs/special_education/parent_resource_center/index,38.6365571,-77.4347368,Pending,,20112,Manassas
Parent Resource Center Workshop PWC,ContreEM@pwcs.edu, (703) 791-7935,"Kelly Leadership Center, Second Floor, Suite 2200, 14715 Bristow Rd., Manassas, VA 20112",https://www.pwcs.edu/academics___programs/special_education/parent_resource_center/index,38.63661,-77.4348102,Pending,,20112,Manassas
Parkland Immanuel Church of God,parklandimmanuelcog7@yahoo.com,571-359-5148,"8709 Parkland St, Manassas, VA 20111, USA
",https://parklandimmanuelco.wixsite.com/website,38.7925295,-77.4605274,Pending,,20111,Manassas
Paul B.Ebert Law Library,CircuitCourt@pwcgov.org,703-792-6262,"9311 Lee Avenue 3rd Floor, Room 304, Manassas, VA 20110",,38.7514307,-77.4789209,Pending,,20110,Manassas
Portuguese American Leadership Council of the United States (PALCUS),palcus@palcus.org,202-466-4664,"9255 Center St., Suite 102 - Manassas, VA 20110, USA",http://www.palcus.org,38.7504254,-77.4758264,Pending,,20110,Manassas
Prince of Peace Church,princeofpeacechurch@aol.com,571-402-7265,"13480 Dumfries Rd, Manassas, VA 20112",http://www.theprinceofpeacechurch.com/,38.6601525,-77.4416293,Pending,,20112,Manassas
"Prince of Peace United Methodist Church
",genniebowles@vaumc.org,703-670-4143 / (540) 649-1216,"6299 Token Forest Dr, Manassas, VA 20112",https://www.popumc.org/,38.6746655,-77.3942973,Pending,,20112,Manassas
Prince William Chamber of Commerce,info@pwchamber.org,703-368-6600,"9733 Buchanan Loop Manassas, VA 20110",https://pwchamber.org/,38.740528,-77.512973,Pending,,20110,Manassas
"Prince William County Animal Shelter,",animalshelter@pwcgov.org,703.792.6465,"14807 Bristow Road, Manassas, VA 20112",https://pwspca.org/food/,38.6347959,-77.4306112,Pending,,20112,Manassas
Prince William County Justice System,OCJSContact@pwcgov.org,MANASSAS: (703) 792-6065,"9540 Center Street, Suite 301, Manassas, VA 20110",https://www.pwcva.gov/department/criminal-justice-services/domestic-violence-help-services,38.7527034,-77.483708,Pending,,20110,Manassas
Prince William County Police - School Resource Officer Unit,skhalid@pwcgov.org,(571) 343-0101,"Western District Station, 8900 Freedom Center Blvd. Manassas, VA 20110",,38.7629772,-77.5165311,Pending,,20110,Manassas
Prince William County Police Department - Community Liason Office,rharris@pwcgov.org,(703)792-7231,"Western District Station 8900 Freedom Center Boulevard, Manassas, VA 20110",,38.7629772,-77.5165311,Pending,,20110,Manassas
Prince William County Public Safety Resilience Center ,vtaylor@pwcgov.org,"(703)792-4935, (571)373-6241","7762 Donegan Dr., Manassas, VA 20109",,38.7896657,-77.5179198,Pending,,20109,Manassas
Prince William County Public Schools,,703-791-7200,"14715 Bristow Rd., Manassas, Virginia 20112",https://www.pwcs.edu/departments/student_services/,38.6365571,-77.4347368,Pending,,20112,Manassas
Prince William Family Counseling ,inquiry@wtg-pwfc.hush.com,(703)330-9933,"8140 Ashton Ave Suite 200, Manassas, VA 20109",https://woodbridgetherapygroup.com/,38.7811685,-77.5171933,Pending,,20109,Manassas
Prince William Islamic Center,,(703) 330-3556,"9002 Mathis Ave, Manassas, VA 20110",http://pwicva.org/,38.759851,-77.465797,Pending,,20110,Manassas
Prince William Senior Centers -- Manassas Senior Center,,(703) 792-6405,"9320 Mosby Street, Manassas, Virginia, 20110",https://www.pwcva.gov/department/area-agency-aging/senior-centers,38.7535316,-77.4803867,Pending,,20110,Manassas
Project Mend-A-House,support@pmah.org,(703) 792-7663,"8787 Commerce Ct, Manassas, VA 20110",https://pmah.org/,38.7593916,-77.4593401,Pending,,20110,Manassas
PWC OAR NOVA (Re-entry Program from Jail),info@oarnova.org,(703) 246 – 3033,"9319 Mosby Street, Manassas, VA 20110",https://oarnova.org/services/prince-william-county/,38.7530983,-77.4785469,Pending,,20110,Manassas
PWCS Global Welcome Center: Manassas Campus,GWCRegistration@pwcs.edu,(571) 402-3800,"10100 Lomond Dr., Manassas, VA 20109",https://www.pwcs.edu/departments/global_welcome_ center/index,38.7848225,-77.501442,Pending,,20109,Manassas
Quest Church ,,,"11380 Bulloch Dr, Manassas, VA 20109",,38.8023009,-77.530067,Pending,,20109,Manassas
Reconciliation Community Church,info@rccnova.org,703-791-3499,"14654 Joplin Rd, Manassas, VA 20112",http://www.rccnova.org/,38.6351054,-77.4403412,Pending,,20112,Manassas
Recovery and Wellness,,703-546-1834,"9309 Center Street,  Suite 101, Manassas, VA 20110",https://www.catalystwellness.com/,38.7500788,-77.4783084,Pending,,20110,Manassas
Reformed Presbyterian Church,Pastor@rpchurchmanassas.org,703-565-7405,"9400 Fairview Ave, Manassas, VA 20110",http://rpchurchmanassas.org/drupal/Home,38.7513116,-77.4666567,Pending,,20110,Manassas
Remanente Church,,(703) 615-3113,"10519 Battleview Pkwy, Manassas, VA 20109",,38.8050994,-77.5177154,Pending,,20109,Manassas
"River of Grace Lutheran Church, ELCA",,703-680-1058,"15012 Dumfries Rd, Manassas, VA 20112",http://rognova.com/,38.6264426,-77.40989,Pending,,20112,Manassas
River of Life Pentecostal Church,,(703) 361-7390,"8216 Birch St, Manassas, VA 20111",http://myfphc.org/,38.7803399,-77.448146,Pending,,20111,Manassas
Rock of Israel Church ,,,"8209 Centreville Rd, Manassas, VA 20111",https://www.facebook.com/rockofisraelchurch/,38.7779655,-77.4506454,Pending,,20111,Manassas
Sacred Heart Catholic Church,,703-590-0030,"12975 Purcell Rd, Manassas, VA 20112",https://www.sacredheartmanassas.org/,38.675147,-77.3971519,Pending,,20112,Manassas
Second Irongate Community Association,secondirongate@aol.com,(703) 361-3481,"8300 Community Dr, Manassas, VA 20109",http://www.secondirongate.com/,38.7761345,-77.49853,Pending,,20109,Manassas
Serving Our Neighbors Mobile Drop-in Center -- Manassas Presbyterian Church,office@mpc-va.org,703-369-2058,"8201 Ashton Avenue, Manassas, Virginia 20109",https://www.mpc-va.org/mission.html,38.7804394,-77.5147697,Pending,,20109,Manassas
Sion Asamblea Cristiana,office.va@sionac.org,571-238-9557,"9518 Prince William St, Manassas, VA 20110",http://sionac.org/,38.7480101,-77.4856566,Pending,,20110,Manassas
"Spriggs Road Presbyterian Church
",SRPC@SpriggsRoad.org,(703) 791-5555,"13201 Spriggs Rd, Manassas, VA 20112",http://www.spriggsroad.org/,38.6679001,-77.4014124,Pending,,20112,Manassas
St. Mark's United Methodist Church,,(703) 368-5790,"7803 Well St, Manassas, VA 20111",,38.7866424,-77.4499602,Pending,,20111,Manassas
St. Mary's Byzantine Catholic Church,,(301) 421-1739,"6719 Token Valley Rd, Manassas, VA 20112",https://www.stmarysbyz.com/,38.6636068,-77.405006,Pending,,20112,Manassas
St. Thomas United Methodist Church,receptionist@stthomasumc.org,703 368-5161,"8899 Sudley Road, Manassas, VA 20110",https://www.stthomasumc.org/,38.7638239,-77.4784429,Pending,,20110,Manassas
Sudley United Methodist Church,pastor@sudley-methodist.org,703-754-4380,"5308 Sudley Rd, Manassas, VA 20109",http://www.sudley-methodist.org/,38.8406083,-77.5381369,Pending,,20109,Manassas
Tabernacle Baptist Church,admin@tbcmanassas.org,703-368-8610,"8275 Barrett Dr, Manassas, VA 20109",http://www.tbcmanassas.org/,38.776676,-77.4962025,Pending,,20109,Manassas
Taqwa Islamic Center,,Cannot find,"10441 Balls Ford Rd, Manassas, VA 20109",,38.8007977,-77.508575,Pending,,20109,Manassas
The Love Church,info@welovechurch.com,703.330.0881,"11234 Balls Ford Rd, Manassas, VA 20109",https://welovechurch.com/,38.797185,-77.5321541,Pending,,20109,Manassas
The Prince William - Manassas Regional Adult Detention Center,adc@pwcgov.org,(703)792-6420,"9320 Lee Ave., Manassas, VA 20110",https://www.pwcva.gov/department/adult-detention-center,38.7519901,-77.4799665,Pending,,20110,Manassas
The Robert Day Childcare Center,dshipman@arcgpw.org,(703) 670-5060,"9208 Centreville Rd, Manassas, VA 20110",https://arcgpw.org/childcare-services/,38.7548104,-77.4671721,Pending,,20110,Manassas
The Rock Church of Manassas,info@rockchurchmanassas.org,571-551-6049,"10800 Vandor Ln, Manassas, VA 20109",https://www.rockchurchmanassas.org/,38.8027792,-77.5177811,Pending,,20109,Manassas
The Salvation Army Thrift Store & Donation Center,NorthernARC@uss.salvationarmy.org,703-686-4607,"11201 Balls Ford Road, Manassas, VA, 20109",https://satruck.org/,38.7961962,-77.5285818,Pending,,20109,Manassas
The Universal Church,ask@universalusa.org,888-332-4141,"8281 Centreville Rd, Manassas, VA 20111",https://www.universal.org/usa/,38.7770963,-77.4507892,Pending,,20111,Manassas
Trauma and Hope,,(703) 750-7852,"9028 Prince William St, Unit E, Manassas, VA 20110",Outpatient Mental Health Treatment | Northern Virginia | Springfield VA (traumaandhope.com),38.7502061,-77.4704665,Pending,,20110,Manassas
Trinity Episcopal Church,info@trinityepiscopalchurch.org,(703) 368-4231,"9325 West St, Manassas, VA 20110",https://www.trinityepiscopalchurch.org/,38.752143,-77.473254,Pending,,20110,Manassas
Victory Fellowship CGP,info@victory-fellowship.net,(703) 335-7705,"9608 Fairview Ave, Manassas, VA 20110",http://www.victory-fellowship.net/,38.7464552,-77.4626358,Pending,,20110,Manassas
Virginia Cooperative Extension,smartmoney@pwcgov.org,,"8033 Ashton Avenue, Suite 105, Manassas, VA 20109 ",https://www.pwcva.gov/department/virginia-cooperative-extension/financial-empowerment-center,38.7885886,-77.5197251,Pending,,20109,Manassas
Virginia Department of Veteran Affairs ,,(703) 479-7437,"9300 West Courthouse Road, Suite 305, Manassas, Virginia 20110",,38.7526749,-77.4826566,Pending,,20110,Manassas
Virginia Health Insurance Counselling and Assistance Program (VICAP) -- Manassas City Department of Family Services,,(703) 361-8277,"9324 West Street, Manassas, VA 20110",https://www.pwcva.gov/department/area-agency-aging/medicaid,38.7519552,-77.4748714,Pending,,20110,Manassas
Virginia Health Insurance Counselling and Assistance Program (VICAP) -- Prince William County Department of Social Services,,(703) 792-7500,"7987 Ashton Ave., Suite 200, Manassas, VA 20109",https://www.pwcva.gov/department/area-agency-aging/medicaid,38.7883026,-77.5192123,Pending,,20109,Manassas
Virginia Korean SDA Church,info@vasda.org,703-563-7465,"12351 Dumfries Rd, Manassas, VA 20112",http://vasda.org/web/,38.6850053,-77.440545,Pending,,20112,Manassas
Virginia Tech Cooperative Extension of Greater Prince William,,703-792-6289,"8033 Ashton Avenue, Suite 105, Manassas, Virginia 20109",https://prince-william.ext.vt.edu/programs.html,38.7885886,-77.5197251,Pending,,20109,Manassas
Volunteer Prince William,,703-369-5292,"9248 Center Street Manassas, VA 20110",http://www.volunteerprincewilliam.org/,38.7510368,-77.4756831,Pending,,20110,Manassas
Westover Baptist Church Sbc,,(703) 368-0826,"10301 Sudley Manor Dr, Manassas, VA 20109",https://www.facebook.com/pages/Westover-Baptist-Church-SBC/120557651289256,38.7888563,-77.5045901,Pending,,20109,Manassas
"Women, Infnats, and Childeren (WIC) -- Manassas Office",PWHDWIC@vdh.virginia.gov ,(703) 792-7319,"9430 Forestwood Lane, Suite 201, Manassas, VA 20110",https://www.vdh.virginia.gov/prince-william/wic/,38.7666167,-77.4781699,Pending,,20110,Manassas
Woodbine Church,woodbinechurch@comcast.net,(571) 399-7159 ,"12914 Canova Dr, Manassas, VA 20112",http://www.thewoodbinechurch.com/,38.6732977,-77.4416911,Pending,,20112,Manassas
Word Alive Church International,info@thewordisalive.com,703.369.6770,"8517 Rixlew Ln, Manassas, VA 20109",http://thewordisalive.com/,38.7727375,-77.5008915,Pending,,20109,Manassas
City of Manassas Park,d.jackson@manassasparkva.gov,(703)335-8803,"1 Park Center Court, Manassas Park, VA 20111",www.manassasparkva.gov,38.7674138,-77.4410636,Pending,,20111,Manassas Park
First Bible Baptist Church,michelle.turner@fbbcva.org,703-330-3222,"206 Manassas Dr, Manassas Park, VA 20111",http://fbbcva.org/,38.780044,-77.4618696,Pending,,20111,Manassas Park
Manassas Park Community Center,,(703) 335-8872,"99 Adams St, Manassas Park, VA 20111",https://www.manassasparkcommunitycenter.com/,38.7839326,-77.4619509,Pending,,20111,Manassas Park
Mason and Partners (MAP) Clinic,mapclinic@gmu.edu,703-993-5880; MAT Bridge: 703-539-2951 (Wed clinic),"99 Tremont St, Manassas Park, VA 20111",,38.7834623,-77.465682,Pending,,20111,Manassas Park
Ministerio International Roca De Salvacion Apostoles y Profetas,,(703) 257-4039,"137 Colfax Dr, Manassas Park, VA 20111",,38.7869833,-77.4726426,Pending,,20111,Manassas Park
Repentance By Faith Church-God,,(703) 330-8926,"7907 Rugby Rd, Manassas Park, VA 20111",,38.7881978,-77.4376285,Pending,,20111,Manassas Park
Third Dimension Institute,,,"256 Kirby St, Manassas Park, Virginia, 20111",,38.7753346,-77.4628693,Pending,,20111,Manassas Park
Virginia Health Insurance Counselling and Assistance Program (VICAP) -- Manassas Park Department of Social Services,,(703) 335-8880,"City Hall, 1 Park Center Court, Manassas Park, VA, 20111",https://www.pwcva.gov/department/area-agency-aging/medicaid,38.7674138,-77.4410636,Pending,,20111,Manassas Park
Bethel A.M.E. Church,revmelyndaclarke@gmail.com,(571) 285-4170,"4371 Kevin Walker Dr, Montclair, VA 22025",www.bethelofwoodbridge.org,38.6031181,-77.3413993,Pending,,22025,Montclair
Montclair Library,,703-792-8740,"5049 Waterway Dr, Montclair, VA 22025
",www.pwcva.gov/library,38.6101832,-77.3570669,Pending,,22025,Montclair
Church of the Brethren,nokesvillecob@nokesvillecob.org,(703) 594-2685,"13002 Fitzwater Dr, Nokesville, VA 20181",http://nokesvillecob.org/,38.7001034,-77.5822074,Pending,,20181,Nokesville
Colchester Baptist Church,ColchesterChurch@gmail.com,703-594-2887,"10405 Schaeffer Ln, Nokesville, VA 20181",http://colchesterfreewillbaptistchurch.org/,38.7276919,-77.5697553,Pending,,20181,Nokesville
Greenwich Presbyterian Church,info@greenwichpres.org,703-754-7933,"15305 Vint Hill Rd, Nokesville, VA 20181",http://greenwichpres.org/,38.7490222,-77.6477063,Pending,,20181,Nokesville
Monterey Church,bryan@monterey.church,(540) 347-3630,"10504 Kettle Run Rd, Nokesville, VA 20181",https://www.monterey.church/virginia,38.7261623,-77.5802189,Pending,,20181,Nokesville
Nokesville Library,,703-792-5665,"12993 Fitzwater Dr, Nokesville, VA 20181
",www.pwcva.gov/library,38.6993179,-77.5822372,Pending,,20181,Nokesville
Nokesville United Methodist Church,secretary@nokesvilleumc.comcastbiz.net,703-594-2141,"12508 Aden Rd, Nokesville, VA 20181",https://www.nokesvilleumc.com/,38.6840351,-77.5752256,Pending,,20181,Nokesville
The Chris Atwood Foundation,info@thecaf.org,703.653.4221,"PO Box 9282 Reston, Virginia 20195",https://www.thecaf.org/,38.9475624,-77.3295728,Pending,,20195,Reston
Regional Education Assessment Crisis Services Habilitation (REACH) Program ,,(804) 786-3921,"P.O. Box 1797, Richmond, VA 23218","https://dbhds.virginia.gov/developmental-services/Crisis-services/#:~:text=The%20REACH%20program%20is%20the%20statewide%20crisis%20system,incarceration%2C%20hospitalization%2C%20and%2For%20danger%20to%20self%20or%20others.",37.56,-77.45,Pending,,23218,Richmond
The Innovation in Child and Family Wellness Research Group,,(804) 828-1692,"Academic Learning Commons 1000 Floyd Avenue, 4th Floor Box 842027, Richmond, VA 23284-2027",https://innovativewellness.vcu.edu/,37.5474207,-77.4544017,Pending,,23284,Richmond
Virginia Department of Medical Assistance Services,,804-786-6273,"600 East Broad Street, Richmond, Virginia. 23219",https://www.dmas.virginia.gov/#/index,37.5424413,-77.4360968,Pending,,23219,Richmond
Virginia Foundation for Healthy Youth (VFHY),,(804) 786-2523,"701 East Franklin Street, Suite 500, Richmond, VA 23219",https://www.vfhy.org/events/,37.5399325,-77.4371393,Pending,,23219,Richmond
