,VERIFICATION STATUS,ORGANIZATION,CATEGORY,EMAIL ,Link,PHONE,ADDRESS,WEBSITE,Services Provided,Hours of Service,Comment,latitude,longitude
83,Verified,Children’s Regional Crisis Response (CR2),Mental Health Substance Use,,,703-527-4077,,https://www.cr2crisis.com/about-our-service,"CR2 collaborates with CSBs, CSA agencies, and other professionals so that every individual, child, and family served may benefit from coordinated care and a team approach. The collaboration process is further enhanced through community outreach, awareness campaigns, and training so that every locality may improve its ability to prevent crises and provide a successful response.",,,40.7035916,-104.7808024
84,"Check, Google Map shows it permanantly closed",Childrens Center of Manassas,Community and Recreation Centers,,,(703) 791-3838,"12019 Falling Creek Dr, Manassas, VA 20112",http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=36491,,6:00am until 6:30pm,care for children as young as 6 weeks through 13 years old,38.6908473,-77.4402551
85,Verified,Chinn Aquatics & Fitness Center,Community and Recreation Centers,kfish@pwcgov.org,,703-792-8600,"13025 Chinn Park Dr, Woodbridge, VA 22192",http://www.pwcgov.org/government/dept/park/chinn/pages/default.aspx,"Aquatics
Chinn Aquatics & Fitness Center is a premiere aquatics center which offers patrons two large swimming pools, diving boards, two whirlpool hot tubs, two steamy saunas and an outdoor sundeck. During ""Splash 'n' Play"", parents and children 5 and under invited to participate in aquatics play.                                                       Fitness
Get your heartbeat up in our cardio room complete with state-of-the-art equipment. Get fit on your own or use a personal trainer. Our fully stocked weight room is just one of the many amenities we offer to help you have fun, relieve stress and stay healthy.","Hours of Operation
Monday - Thursday: 5am - 9pm
Friday: 5am - 8pm
Saturday: 7am - 5pm
Sunday: 8am - 5pm

Pools closes 15 minutes before closing Monday - Friday and 30 minutes before closing Saturdays and Sundays. We accommodate multiple user groups in our pools throughout each day.

Closed:

Labor Day
Thanksgiving Day
Dec 24th Christmas Eve
Dec 25th Christmas
Dec 31st New Years Eve Close at 2p
Jan 1st New Years Day
Easter
Memorial Day
July 4th","Splash 'n Play
Together parents and children discover the aquatic environment through water playtime. Toys are provided. No registration required. Up to 2 adults are free with each child.

Ages 6 months - 5 years
1/1 - 5/2 1:00-2:30pm M/W/F, $5",38.6702546,-77.3320643
86,Verified,Chinn Park Library,Education Services,,,703-792-4800,"13065 Chinn Park Dr, Woodbridge, VA 22192
",www.pwcva.gov/library,,"Sunday        1:00 PM - 5:00 PM
Monday        10:00 AM - 8:00 PM
Tuesday        10:00 AM - 8:00 PM
Wednesday        10:00 AM - 5:00 PM
Thursday        10:00 AM - 5:00 PM
Friday        10:00 AM - 5:00 PM
Saturday        10:00 AM - 5:00 PM",,38.6703104,-77.33323539999999
87,Verified,The Chris Atwood Foundation,Mental Health Substance Use,info@thecaf.org,,703.653.4221,"PO Box 9282 Reston, Virginia 20195",https://www.thecaf.org/,"Get Nalaxone
Request a FREE  naloxone opioid overdose reversal kit and watch our naloxone training video online.

Connect With A Peer Specialist
Call or Text: 703-653-4221
Our Peers are available for those in recovery and their allies to listen and provide guidance, referrals, and emotional support.

FAMILY RECOVERY SUPPORT
Help and healing for families impacted by substance use. A direct line of support to answer ""What do I do?",,,38.9475624,-77.3295728
88,Verified,Christ Chapel Church,Faith Based Services (parenting),connections@christchapel.org,,703-670-8481,"13909 Smoketown Road Woodbridge, VA 22192",https://christchapel.org/,"At Christ Chapel Kids, we partner with parents to build a strong foundation for our children. We focus on creating the first building blocks of a Gospel-centered, Bible-driven faith. This fun and engaging ministry teaches children in ways they can understand, using God’s Word as our guide!",M - F from 9 am to 4 pm,,38.646699,-77.30013249999999
89,,CHRIST New Birth Ministries,Faith Based Services,,,(703) 594-4341,"4421 Dale Blvd, Woodbridge, VA 22193",,,,,38.6492082,-77.34228639999999
90,,Christian Life Church,Faith Based Services,info@myclcchurch.org,,(703) 365-0800,"7845 Ashton Ave, Manassas, VA 20109",http://myclcchurch.org/,,,,38.7891743,-77.5199739
91,,Church of Christ,Faith Based Services,dalecitychurch@dccoc.comcastbiz.net,,(703)590 -1790,"13130 Hillendale Dr, Dale City, VA 22193",http://www.churchofchristatdalecity.org/,,,,38.6665491,-77.3354287
92,,Church of Christ of Woodbridge,Faith Based Services,Preacher@WoodbridgeChurchOfChrist.com,,(703) 494 - 5721,"13815 Surrey Drive; Woodbridge, Va. 22191",http://www.woodbridgechurchofchrist.com/,,,,38.6527298,-77.2717336
93,,Church of God-Souls Harbor,Faith Based Services,soulsharbormanassas@gmail.com,,(703) 369-1222,"8900 Portner Ave, Manassas, VA 20110",https://soulsharborcog.com/,,,,38.7626113,-77.4651732
94,,Church of God-Trinity Temple,Faith Based Services,,,(703) 494-1660,"13403 Baxter St, Woodbridge, VA 22191",,,,,38.6620132,-77.26166309999999
95,,Church of the Brethren,Faith Based Services,nokesvillecob@nokesvillecob.org,,(703) 594-2685,"13002 Fitzwater Dr, Nokesville, VA 20181",http://nokesvillecob.org/,,,,38.7001034,-77.5822074
96,,Church of the Nazarene,Faith Based Services,,,(703) 670-2252,"14001 Smoketown Rd, Woodbridge, VA 22192",www.woodbridgenaz.com,,,,38.6449449,-77.3010017
97,,Church of the Word Anglican,Faith Based Services,admin@churchoftheword.net,,‭(703) 754-9673‬,"7500 Logos Way, Gainesville, VA 20155",https://www.churchoftheword.net/,,,,38.7946379,-77.61573659999999
98,,Church On the Rock Ministries,Faith Based Services,,,(703) 441-2700,"17732 Washington St, Dumfries, VA 22026",,,,,38.567473,-77.3270223
99,,City Light Church,Faith Based Services,,,(703) 828-4817,"13215 Minnieville Rd, Woodbridge, VA 22192",www.citylightchurch.us,,,,38.6613353,-77.2937431
100,,City of Manassas Park,City Services ,d.jackson@manassasparkva.gov,,(703)335-8803,"1 Park Center Court, Manassas Park, VA 20111",www.manassasparkva.gov,,,,38.7674138,-77.44106359999999
101,,Colchester Baptist Church,Faith Based Services,ColchesterChurch@gmail.com,,703-594-2887,"10405 Schaeffer Ln, Nokesville, VA 20181",http://colchesterfreewillbaptistchurch.org/,,,,38.7276919,-77.5697553
102,"Verified (the website is inactive, check again)",Comfort Kare,Medical and Healthcare,info@comfortkservice.com,,703-986-3232,"1376 Old Bridge Rd Suite 101, Woodbridge, VA 22192",,"Comfort Kare is a licensed Home Health Agency in the state of Virginia. We take pride in delivering compassionate, high-quality, and comprehensive care in the comfort of our client’s home, remaining sensitive to their personal circumstances. Comfort Kare was established in July of 2016, consisting of a diverse group of professionals and paraprofessionals. We provide services in Fairfax County, Prince William County, Stafford County, and Spotsylvania County. Our scope of services include personal care, respite care, companionship, skilled nursing, and ABA therapy. All of our services are supervised by licensed professionals.",Monday-Friday 8:30am-4pm,,38.6748209,-77.2579626
103,,CommonHelp VA,Social Services,,,833-522-5582,,commonhelp.virginia.gov/access,"SNAP, TANF, Medicaid, Childcare subsidy, Nursing home grants, Rent/Utility assistance, energy assistance.",,,40.7035916,-104.7808024
104,Verifed,Community Healthcare Coalition of Greater Prince William ,Health,mburton@institutephi.org.,,,,http://www.behealthybehappyprincewilliam.com/index.php?module=Tiles&controller=index&action=display&alias=priorities,,,,40.7035916,-104.7808024
105,,Community Services Board,Mental Health Substance Use,,,(703) 792-7800,"7969 Ashton Ave, Manassas, VA 20109",,"Coordinated care for developmental delays,
disabilities, mental illness, substance use.",,,38.7885068,-77.5189456
106,,Concordia Lutheran Church,Faith Based Services,,,(703) 221-3703,"3637 Graham Park Rd, Triangle, VA 22172",www.concordialutheranva.org,,,,38.5562499,-77.3242034
107,,Controlled Substance Public Disposal Locations,Mental Health Substance Use,,,,,https://bit.ly/Search-Utility,"Online search tool to find locations to safely dispose of
unused or expired medicines.",,,40.7035916,-104.7808024
108,,Coordinated Entry (CES),Hotlines Crisis,,,703-792-3366,,,,"Mon-Fri 8:30am to 5:30pm, closed federal holidays",,40.7035916,-104.7808024
109,Verified,Coordinated Entry System (CES) ,Housing Utilities Finances,,,(703) 792-3366 ,,https://www.pwcva.gov/department/homeless-services/coordinated-entry-system-ces,"The Coordinated Entry System (CES) is a process developed to ensure that all people experiencing a housing crisis have fair and equal access to available resources and services. The CES team is trained in crisis response and will identify, assess, refer, and connect households to resources based on their strengths and needs.

A dedicated hotline is available to homeless residents and those at risk of being homeless to quickly to connect to help and services. The CES Hotline is (703) 792-3366 (TTY: 711).",Mon-Fri 8:30 AM - 5:30 PM,,40.7035916,-104.7808024
110,,Counseling Associates of Virginia,Mental Health Substance Use,,,(703) 330-5155,"8401 Dorsey Circle, Suite 201, Manassas, VA",http://counselingassociatesofva.com/Index.aspx,"Telehealth option, no Medicaid.",,,38.7694424,-77.48661729999999
111,,Covenant Presbyterian Church,Faith Based Services,cpc@covenantpresbyterianchurch.us,,703-583-4090,"12700 Black Forest Ln, Woodbridge, VA 22192",http://www.covenantpresbyterianchurch.us/,,,,38.67709019999999,-77.3483942
112,Verified,Creating Foundations for Hope,Food,info@cfhva.org,,703-221-4510,"7702 Donegan Drive, Manassas, VA 20109",https://cfhva.org/food-pantry/,"What began as pandemic-related food distribution efforts at East End Mobile Home Park in 2020 quickly blossomed into regular distribution at East End Mobile Home Park. We soon expanded these efforts to include the surrounding community in a twice monthly distribution effort that feeds hundreds of people each month. Addressing this food insecurity is another important piece in creating stable homes for our neighbors in need.

Food is distributed to East End residents on Tuesdays.

Food distribution for families in surrounding areas of East End is 2 times a month. Days and times vary depending on food supplies please follow us on Face book at CFH at East End for days and times.

If you represent a school or social services and have someone in need of food please send them to CFH Food Pantry. We accept all referrals.

Anyone looking for assistance with food or who would like more information, please contact Helen Zurita, Community Liaison, at 703.221.4510 (ext. 2001). If you would like to help stock our food pantry, you can donate products from our Amazon wishlist here.",,,38.7899186,-77.5172169
113,Verified,Creating Foundations for Hope,Housing Utilities Finances,info@cfhva.org,,703-221-4510,"7702 Donegan Drive, Manassas, VA 20109",https://cfhva.org,"Security Deposit Assistance
Sometimes help with the security deposit is the difference between having or not having a safe place to call home.  CFH is here to help.

Downpayment Assistance
Help with a downpayment is often just what’s needed for someone to buy a first home – and change their family’s trajectory for generations.

First-Time Homebuyer Opportunities
Thanks to our partnership with two state agencies, CFH buys and renovates homes to sell affordably to income-qualified purchasers.

Senior Emergency Assistance
Seniors and the disabled are particularly vulnerable to devastating consequences due to changing circumstances, and emergency financial help and support can keep them in their homes.

Rental Homes
Affordable rental homes are critical for limited-income households and for our communities in general.  Our portfolio of affordable rentals continues to grow so we can provide a safe and sustainable haven for seniors, young families, and others.

East End Community
In 2018, CFH and its partners stepped in to purchase the East End Mobile Home Park in Manassas, stopping its pending condemnation due to ongoing water and sewer issues.  Today, east End is a thriving community where these and other property issues have been fixed, and where residents enjoy a variety of new programs and events at a new community center and playground.",,,38.7899186,-77.5172169
114,,Crest Ridge HOA,HOA,,,,,,,,,40.7035916,-104.7808024
115,,Crisis Intervention Services,Mental Health Substance Use,,,See Comments,,,"Scheduled and walk-ins. Mental health, substance abuse and
intellectual disabilities.","Crisis Intervention Services are available 24 hours a day, 7 days a week: both scheduled and walk-in services are available at the Manassas and Woodbridge offices from 8 a.m. until 8 p.m. Monday through Thursday; and Friday from 8 a.m. until 5 p.m. Emergency Services staff are available after these hours, on weekends and holidays and can be accessed by calling our main number: (703) 792-7800 (TTY:711) in Manassas or (703) 792-4900 (TTY:711) in Woodbridge.",,40.7035916,-104.7808024
116,,Community Services -- Crisis Receiving Center Complex,,,,,"14011 Worth Avenue, Woodbridge, VA 22191",,,,,38.6476856,-77.2939772
117,,"Cristo Es La Respuesta
",Faith Based Services,,,(571) 659-0438,"13800 Delaney Rd, Woodbridge, VA 22193",,,,,38.65585859999999,-77.35311639999999
118,,Crossroads Presbyterian Church,Faith Based Services,,,(703) 794-9431,"15557 Cardinal Dr, Woodbridge, VA 22193",www.crossroadspca.net,,,,38.6156776,-77.3163874
119,,Crossway Fellowship,Faith Based Services,STAFF@CROSSWAYFELLOWSHIP.ORG,,703-368-2386,"8601 Plantation Ln, Manassas, VA 20110",https://www.crosswayfellowship.org/,,,,38.7694133,-77.48025129999999
120,Verified,Culpeper Housing and Shelter Services,Housing Utilities Finances,info@culpepershelter.org,,540-825-7434,"215 E. Spencer St., Culpeper, VA  22701 ",https://culpepershelter.org/,"Homeless Shelter
Culpeper Housing and Shelter Services (CHASS) operates a 15 bed Emergency Homeless Shelter in Culpeper, VA. The shelter is for families and individuals who are literally homeless as a result of:

Eviction
Loss of home through fire
Loss of employment
Economic disparity
Family/Medical emergency
Other unforeseen circumstance
The emergency shelter houses up to 15 people in a group setting.  They share kitchens and common living area.  Families and individuals learn to get along and work together, many times offering help to one another to accomplish their goals.  The shelter provides a temporary place to stay while dealing with crisis issues.  It gives them the time to regain control of their lives and focus on residential stability.

Every shelter resident is provided a case manager.  Case management services include:

Budget Counseling
Housing Counseling
Job Search Services
Life Skills Training
Referrals to local, state and federal resources
Help with developing an individualized housing service plan
Preventing Homelessness
Prevention funds are provided to families and individuals who meet the requirements of the program and are facing homelessness in 14 days or less. The program is designed to divert clients from homelessness and if necessary provide financial assistance for back rent to keep them stably housed. Case management is provided on a monthly basis to help clients retain housing stability. This could include budget and housing counseling, developing a housing service plan or referrals to needed resources.

Rapid Re-housing
Culpeper Housing and Shelter Services helps provide homeless families and individuals the financial assistance to move into permanent housing with rapid re-housing funds. This assistance can be for a security deposit or first month’s rent to help them secure housing. Case management is provided on a monthly basis to help clients stay in stable housing. Case management could be budget and housing counseling, referrals to needed resources, and helping with employment opportunities.

Rapid Re-housing clients must be literally homeless to qualify for this program.",,,38.473499,-77.9933391
121,Verified,D R Horton Rippon Community Center,Community and Recreation Centers,,,(703) 580-1099,"15415 Elizabeth Burbage Loop, Woodbridge, VA 22191",https://www.drhorton.com/,"The D R Horton Rippon Community Center in Woodbridge, VA serves as a hub for local residents to gather and engage in community activities.

Offering a range of amenities and spaces for various events, the center provides a welcoming environment for individuals and groups to come together.","Sun Closed
Mon 9:00 AM-6:00 PM
Tue 9:00 AM-6:00 PM
Wed 9:00 AM-6:00 PM
Thu 9:00 AM-6:00 PM
Fri 9:00 AM-6:00 PM
Sat Closed",,38.6167863,-77.2810865
122,,Dale City 10th HOA,HOA,,,703.492.9444,,,,,,40.7035916,-104.7808024
123,,Dale City 11th HOA,HOA,,,,,,,,,40.7035916,-104.7808024
124,,Dale City 14th HOA,HOA,,,703-530-9800,,,,,,40.7035916,-104.7808024
125,,Dale City 2nd HOA,HOA,,,"
(571) 276-0646",,,,,,40.7035916,-104.7808024
126,,Dale City 3rd HOA,HOA,,,571.421.2211,,,,,,40.7035916,-104.7808024
127,,Dale City 4th HOA,HOA,,,703-841-3830,,,,,,40.7035916,-104.7808024
128,,Dale City 9th HOA,HOA,,,(703) 221-4510,,,,,,40.7035916,-104.7808024
129,,Dale City Baptist Church,Faith Based Services,dcbchurch@gmail.com,,703-670-8118,"3501 Dale Blvd, Woodbridge, VA 22193",www.dalecitybaptist.org,,,,38.6295898,-77.31714389999999
130,,Dale City Christian Church,Faith Based Services,dccccofpraise@aol.com,,703-590-3716,"14022 Lindendale Rd, Woodbridge, VA 22193",http://www.dccccofpraise.org/,,,,38.6485328,-77.359983
131,Verified,Dale City Library,Education Services,,,703-792-5670,"4249 Dale Blvd, Dale City, VA 22193",www.pwcva.gov/library,,"Sunday	CLOSED
Monday	10:00 AM - 6:00 PM
Tuesday	10:00 AM - 6:00 PM
Wednesday	10:00 AM - 5:00 PM
Thursday	10:00 AM - 5:00 PM
Friday	10:00 AM - 2:00 PM
Saturday	10:00 AM - 2:00 PM",,38.6460333,-77.3377817
132,Verified,Dale City Lightning Track Club,Community and Recreation Centers,info@dalecitytrack.org,,571-306-3285,,https://www.dalecitytrack.org/,"The Dale City “LIGHTNING” Track Club (DCTC) is an award winning track and field running club for boys and girls. DCTC is a 501(c)3 organization and our mission is to offer youth a positive environment that is fun, competitive, social, and informative about the sport of track and field.",,,40.7035916,-104.7808024
133,,Dar Alnoor Islamic Community Center,Faith Based Services,,http://www.daralnoor.org/home/contact-us/,(703) 580-0808,"5404 Hoadly Rd, Manassas, VA 20112",http://www.daralnoor.org/,Provides housing assistance  (VERIFY),,,38.6766802,-77.3702631
134,,Dar Al Salaam,Faith Based Services,,,(571) 348-3779,"14505 Richmond Hwy Ste 8, Woodbridge, VA 22191",http://www.daralnoor.org/,,,,38.637275,-77.2683349
135,,Dawnson Landing HOA,HOA,,,(571) 379-6212,,,,,,40.7035916,-104.7808024
136,Verified,Area Agency on Aging,Veteran Services,,,703-792-6374,"1 County Complex Ct., Prince William, VA 22192",https://www.pwcva.gov/department/area-agency-aging/veterans-assistance,Veterans Assistance,,,38.6797908,-77.35213379999999
137,,Destiny Life International Church,Faith Based Services,pastorfrank@destinylifeusa.org,,(703) 331-3570,"8785 Commerce Ct #201, Manassas, VA 20110",http://destinylifeusa.org/,,,,38.7592929,-77.4592435
138,,Domestic Violence -- Court Services Unit/Intake,Legal Services,,,703-792-6210,,,,,,40.7035916,-104.7808024
139,,Domestic Violence -- Domestic Violence Resource Specialist,Legal Services,,,703-792-6065,,,,,,40.7035916,-104.7808024
140,,Domestic Violence -- Victim Witness Assistance Program,Legal Services,,,703-392-7083,,,,,,40.7035916,-104.7808024
141,,Dominion Community Church,Faith Based Services,INFO@DOMINIONCC.ORG,,571-781-2310,"7371 Atlas Walk Way, Gainesville, VA 20155",https://www.dominioncc.org/,,,,38.7958118,-77.6092077
142,,Doorways for Women & Families (Arlington),Hotlines Crisis,,,703-504-9400,,,,,,40.7035916,-104.7808024
143,Verified (Missing location info),Dreamers Mothers in Action,Immigrant Support Services,Lenka@dreamersmothers.org,,571-316-4721,"Woodbridge, Virginia, 22206",https://www.dreamersmothers.org/,"DMIA is an organization founded and led by immigrant domestic and care workers and mothers who came together to stand up for our rights, support one another, and fight for a better future for all immigrants and their families.  We push for polices that welcome all residents at the local, state and federal levels including fair and just comprehensive immigration reform.",,,38.8382463,-77.0938583
144,Verified,Dumfries Library,Education Services,,,703-792-5678,"18115 Triangle Shopping Plaza, Dumfries, VA 22026
",www.pwcva.gov/library,,"Sunday	CLOSED
Monday	10:00 AM - 6:00 PM
Tuesday	10:00 AM - 6:00 PM
Wednesday	10:00 AM - 5:00 PM
Thursday	10:00 AM - 5:00 PM
Friday	10:00 AM - 2:00 PM
Saturday	10:00 AM - 2:00 PM",,38.5591671,-77.3326639
145,,Dumfries United Methodist Church,Faith Based Services,,,(703) 221-2880,"3890 Cameron St, Dumfries, VA 22026",www.dumfriesumc.org,"Food & clothes closet, financial assistance with utility bills & emergency prescriptions; 15 minute devotional services-Must live in Dumfries, Triangle or Quantico area.",Monday 6:30pm to 7:30pm ,,38.5689619,-77.32861729999999
146,Verified,E. Carrington Family Enrichment Center,Family,,,703-530-9800,"9300 Forest Point Circle, Manassas, VA 20110",https://e-carrington.org,"Our mission is to care and our duty is to serve. The E. Carrington Family Enrichment Center is a non profit human service agency committed to enhancing the quality of life for individuals and families by providing services that are consistently available, easily accessible, and genuinely responsive to the needs of all people.

We promote sustainable change by:
- Providing individuals and families with the necessary tools to reach their full potential.
- Empowering and educating women and their families to initiate personal and social change.
- Preventing child abuse and neglect by promoting positive parenting.
- Fighting poverty by strengthening the capacity for self-help.
- Helping families and individuals obtain the highest level of comprehensive diagnostic and therapeutic services in the Northern Virginia and metro DC area.","Monday – Thursday
9 AM – 7 PM

Friday
By Appointment Only

Saturdays 
8 AM – 3 PM",,38.7657489,-77.4793186
147,Verified,Early Head Start Child Development Center -- Georgetown South,Family,,,571.748.2770,"9444 Taney Road, Manassas, VA 20110",https://www.nvfs.org/our-services/early-childhood-development/early-head-start/,"NVFS’ Early Head Start programs provide tools and resources to pregnant women and parents of children ages 0-3 at home and at our centers so that they can build a brighter future for their family. NVFS Early Head Start offers these programs in Arlington, Loudoun and Prince William counties.

At our centers, children receive:

Full-day, full-year care, with a child-centered approach to learning
Daily nutritious meals
Coordinated services to provide comprehensive solutions to the child’s health and educational needs
In our home-based program, parent educators come to participants’ homes and receive:

A weekly 90-minute education session
Twice a month family gatherings for play and socialization
Links to a variety of resources and services based on participants’ needs",,pregnant women and parents of children ages 0-3,38.7413285,-77.4728188
148,Verified,Early Head Start Child Development Center -- Wonderful Virginia Academy,Family,,,571.748.2703,"13420 Minnieville Road, Woodbridge, VA 22192",https://www.nvfs.org/our-services/early-childhood-development/early-head-start/,"NVFS’ Early Head Start programs provide tools and resources to pregnant women and parents of children ages 0-3 at home and at our centers so that they can build a brighter future for their family. NVFS Early Head Start offers these programs in Arlington, Loudoun and Prince William counties.

At our centers, children receive:

Full-day, full-year care, with a child-centered approach to learning
Daily nutritious meals
Coordinated services to provide comprehensive solutions to the child’s health and educational needs
In our home-based program, parent educators come to participants’ homes and receive:

A weekly 90-minute education session
Twice a month family gatherings for play and socialization
Links to a variety of resources and services based on participants’ needs",,pregnant women and parents of children ages 0-3,38.658129,-77.3040132
149,Verified,Early Head Start Child Development Center -- Nikki’s Christian Daycare & Learning Center,Family,,,571.748.2703,"14900 Cloverdale Road, Woodbridge, VA 22193",https://www.nvfs.org/our-services/early-childhood-development/early-head-start/,"NVFS’ Early Head Start programs provide tools and resources to pregnant women and parents of children ages 0-3 at home and at our centers so that they can build a brighter future for their family. NVFS Early Head Start offers these programs in Arlington, Loudoun and Prince William counties.

At our centers, children receive:

Full-day, full-year care, with a child-centered approach to learning
Daily nutritious meals
Coordinated services to provide comprehensive solutions to the child’s health and educational needs
In our home-based program, parent educators come to participants’ homes and receive:

A weekly 90-minute education session
Twice a month family gatherings for play and socialization
Links to a variety of resources and services based on participants’ needs",,pregnant women and parents of children ages 0-3,38.6284651,-77.322987
150,Verified,Early Intervention - Infant & Toddler Connection of Greater Prince William,Family,,,(703) 792-7879,,https://www.pwcva.gov/department/community-services/infant-toddler-services,"The Mission of the Infant and Toddler Connection of Greater Prince William is to provide services for families of infants and toddlers, birth through two years of age, who have a disability, developmental delay or are displaying atypical development. Early intervention (EI) services focus on increasing a child's participation in family and community activities. Supports and services assist parents and other caregivers discover ways to help their child learn and grow through their everyday activities. Services are available for all eligible children/families regardless of the family's ability to pay and is determined through our Family Cost Share Process.

The Infant Information Center (IIC), staffed by certified Service Coordinators, is the central point of entry for EI services, providing information on EI supports and services and taking new referrals to the program.  Referrals to Early Intervention can come directly from the parent, a concerned relative or friend, the child's doctor, or hospital.

The Parent-Infant Education (PIE) Program provides supports and services to eligible children.  These services are provided in the home and community by licensed and certified Speech-Language Pathologists, Physical and Occupational Therapists, Early Childhood Special Educators, Social Workers, and Early Intervention Assistants.  These professionals coach the caregiver in implementing strategies in their normal daily routines that will help the child and family reach their goals.",,Birth - 3 years,40.7035916,-104.7808024
151,Verified,Easter Seals,Veteran Services,,,(301) 588-8700,"1420 Spring Street, Silver Spring, MD 20910",https://www.easterseals.com/DCMDVA/programs-and-services/military-veteran-services/,"Since 1945, Easterseals DC MD VA has worked to enhance quality of life and expand access to mental healthcare, employment, education, and respite opportunities for people with military backgrounds and their families. Our holistic military and veteran services create a hopeful, inclusive community where all people realize their potential and live meaningful lives.

Easterseals DC MD VA proudly served 1,834 veterans and military families last year.
Steven A. Cohen Military Family Clinic at Easterseals
The Cohen Clinic provides high-quality, accessible outpatient mental healthcare to post-9/11 veterans, active-duty service members, National Guard, Reservists, their families, and caregivers regardless of role or discharge status. Our skilled clinicians and staff have been trained to work specifically with veterans, and some are veterans themselves.

7,691 hours of therapy improved the mental well-being of veterans and military families at the Cohen Clinic.
Veteran Staffing Network
VSN is dedicated to finding meaningful jobs for veterans and military spouses. Our career coaches prepare job seekers for all levels of employment with resume building, interview practice, networking, and more. Additionally, VSN advises employers interested in hiring veterans transitioning to the civilian workforce.

595 job seekers received career coaching from the VSN.
Homeless Veterans Reintegration Program
HVRP helps veterans experiencing or at risk of homelessness prepare for long-term employment and receive support for complex transitional needs. We serve male and female veterans, and their families. Services include job training, counseling, and placement services, as well as assistance with work-related clothing, supplies, and transportation.

132 homeless veterans enrolled in HVRP employment and local support services.
Military Family Respite Programs
We offer respite care for military, veterans, and wounded warrior families with children with and without disabilities. Parents and caregivers receive a much-needed break while their child receives individualized care at Easterseals one Saturday per month. In-home specialized respite care is available to active-duty Navy families who have a child with a disability.

482 individuals and families received weekend or in-home respite care.
Little Warriors Child Development Program
Children of wounded warriors receive scholarships to attend Easterseals Child Development Centers. Our inclusive early care and education programs create nurturing environments where children of all abilities learn together in a shared classroom. We support children and their families as they focus on their service member's recovery.

Full scholarships valued at approximately $25,000 allow a Little Warrior to attend an Easterseals Child Development Center.
Adult Day Services
Our Adult Day Services provides cost-effective daily clinical services and engaging activities for adults, seniors, and veterans of all ages. Our centers are a safe, home-like environment with caring staff. Transportation is available to and from each of our three Maryland locations. We also partner with the U.S. Department of Veterans Affairs to provide veterans the opportunity to attend Easterseals Adult Day Services two days a week.

94% of participants had an improved quality of life as a result of attending an Easterseals Adult Day Services center",,,38.9978178,-77.0338227
152,,Ebenezer Presbyterian Church,Faith Based Services,,,(703) 492-7172,"14508 Telegraph Rd, Woodbridge, VA 22192",www.ebenezerpresby.org,,,,38.6399464,-77.291214
153,Check,Edu-Futuro ,Education Services,jessikabermudez@edu-futuro.org,,"(703) 843-8647, (571) 309-5455","15201 Neabsco Mills Rd., Woodbridge, VA 22191",www.edu-futuro.org,,,,38.6214859,-77.28792419999999
154,Verified,Eleanor U. Kennedy Shelter,Housing Utilities Finances,,,703-799-0200,"9155 Richmond Highway, Fort Belvoir, VA 22060",https://www.newhopehousing.org/our-services/shelters/eleanor-u-kennedy-shelter/,"The Eleanor U. Kennedy Shelter provides temporary shelter and services to meet basic needs for adult men and women when they fall on hard times and have nowhere left to go.

This program provides:

- Temporary shelter
- Case management
- Advocacy
- Employment assistance
- Housing assistance
- Meals
- Connection with community resources and programs

Please contact shelter by phone for information and bed availability. During winter months, adults in need of shelter can go directly to site for availability.","Sunday: Open 24 Hours
Monday: Open 24 Hours
Tuesday: Open 24 Hours
Wednesday: Open 24 Hours
Thursday: Open 24 Hours
Friday: Open 24 Hours
Saturday: Open 24 Hours",,38.7078467,-77.1596836
155,Unsure,Elevate ,Employment Services,ELEVATEemployers@vcwnorthern.com,,"(703) 324-7709, (571) 585-6172","13770 Minnieville Road, Woodbridge, VA 22192",,,,,38.6535227,-77.3132981
156,Verified,Emergency Services Crisis Intervention Program -- Manassas Office,Hotlines Crisis,,,(703) 792-7800,"Sudley North Government Center 8033 Ashton Ave., Manassas, VA 20109",https://www.pwcva.gov/department/community-services/crisis-intervention,"The Mission of the Emergency Services Crisis Intervention Program is to respond on a 24-hour basis to the members of our community while providing comprehensive and respectful intervention to those experiencing a crisis related to mental health, substance abuse and/or intellectual disabilities. We work collaboratively with citizens, their families and community agencies in a way that supports self-determination to the greatest extent possible, while also maintaining the safety of the individual and the community.","Crisis Intervention Services are available 24 hours a day, 7 days a week: both scheduled and walk-in services are available at the Manassas and Woodbridge offices from 8 a.m. until 8 p.m. Monday through Thursday; and Friday from 8 a.m. until 5 p.m. Emergency Services staff are available after these hours, on weekends and holidays and can be accessed by calling our main number: (703) 792-7800 (TTY:711) in Manassas or (703) 792-4900 (TTY:711) in Woodbridge.",,38.7885886,-77.5197251
